City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Grand Gaube,MU,-20.01,57.66,75.99,80,3,4.0,clear sky
142,Longyearbyen,SJ,78.22,15.64,19.4,62,75,19.46,light snow
143,Tasiilaq,GL,65.61,-37.64,12.2,61,0,3.36,clear sky
144,Hovd,MN,48.01,91.64,12.63,90,100,1.19,overcast clouds
145,Tuatapere,NZ,-46.13,167.68,51.01,93,100,3.0,moderate rain
146,Srednekolymsk,RU,67.45,153.68,-15.57,88,100,6.73,overcast clouds
147,Puerto Colombia,CO,10.99,-74.95,86.0,74,75,8.05,broken clouds
148,Piacabucu,BR,-10.41,-36.43,78.6,74,89,10.65,overcast clouds
149,San Patricio,US,28.02,-97.52,66.2,68,20,11.41,few clouds
150,Margate,GB,51.38,1.39,48.0,83,2,5.14,clear sky
151,Mosquera,CO,4.71,-74.23,66.2,48,20,9.17,few clouds
152,Namibe,AO,-15.2,12.15,72.0,77,100,7.02,overcast clouds
153,Port Hawkesbury,CA,45.62,-61.35,41.0,75,90,12.75,overcast clouds
154,Kodiak,US,57.79,-152.41,32.0,92,90,9.17,overcast clouds
155,Pevek,RU,69.7,170.31,-1.03,93,100,8.08,overcast clouds
156,Ratnagiri,IN,16.98,73.3,78.3,68,0,4.61,clear sky
157,Kytmanovo,RU,53.46,85.45,11.8,96,10,1.79,clear sky
158,Banepa,NP,27.63,85.52,48.2,87,20,2.24,few clouds
159,Yulara,AU,-25.24,130.99,84.2,26,98,16.11,overcast clouds
160,Medicine Hat,CA,50.05,-110.67,37.4,55,90,17.22,overcast clouds
161,Lethem,GY,3.38,-59.8,89.44,56,93,5.79,overcast clouds
162,Husavik,IS,66.04,-17.34,28.4,86,75,2.24,snow
163,East London,ZA,-33.02,27.91,62.6,88,0,2.24,clear sky
164,Mason City,US,43.15,-93.2,35.6,64,90,21.92,overcast clouds
165,Kavieng,PG,-2.57,150.8,80.76,80,100,21.3,light rain
166,Katsuura,JP,35.13,140.3,46.4,65,75,9.17,broken clouds
167,Iqaluit,CA,63.75,-68.51,-13.0,69,20,11.41,few clouds
168,Souillac,MU,-20.52,57.52,75.2,83,40,6.93,scattered clouds
169,Hanting,CN,36.77,119.21,31.24,86,0,4.9,clear sky
170,Sibu,MY,2.3,111.82,73.4,94,40,3.36,moderate rain
171,Coos Bay,US,43.37,-124.22,53.01,66,1,6.93,clear sky
172,Mahajanga,MG,-15.72,46.32,82.4,78,20,10.29,few clouds
173,Halifax,CA,44.65,-63.57,45.0,56,0,9.17,clear sky
174,Port Blair,IN,11.67,92.75,80.62,79,0,14.0,clear sky
175,Kruisfontein,ZA,-34.0,24.73,59.0,87,0,3.06,clear sky
176,Merauke,ID,-8.47,140.33,78.96,86,100,10.18,overcast clouds
177,Isangel,VU,-19.55,169.27,74.64,63,2,8.14,clear sky
178,Westport,US,41.14,-73.36,53.01,43,1,9.17,clear sky
179,Olinda,BR,-8.01,-34.86,80.6,57,40,12.75,scattered clouds
180,Upernavik,GL,72.79,-56.15,8.04,88,100,18.32,overcast clouds
181,Mosetse,BW,-20.75,26.65,78.67,54,60,7.74,broken clouds
182,Ribeira Grande,PT,38.52,-28.7,59.0,72,40,8.05,scattered clouds
183,Natal,BR,-5.79,-35.21,84.2,66,75,20.8,broken clouds
184,Iskitim,RU,54.64,83.3,1.4,84,20,4.47,mist
185,Klyuchi,RU,52.27,79.17,14.4,94,0,6.11,clear sky
186,Stykkisholmur,IS,65.08,-22.73,32.99,90,60,15.39,broken clouds
187,Fort Abbas,PK,29.19,72.85,62.33,28,0,3.11,clear sky
188,Hilo,US,19.73,-155.09,77.0,65,1,3.36,clear sky
189,Rio Gallegos,AR,-51.62,-69.22,60.8,50,40,29.97,scattered clouds
190,Whitehorse,CA,60.72,-135.05,26.6,79,20,23.04,few clouds
191,Saint George,US,37.1,-113.58,51.01,24,1,2.21,clear sky
192,Garden City,US,42.33,-83.33,48.99,57,75,12.75,broken clouds
193,Turochak,RU,52.26,87.12,17.28,96,67,1.28,broken clouds
194,Carnarvon,AU,-24.87,113.63,68.0,72,40,24.16,scattered clouds
195,Qaanaaq,GL,77.48,-69.36,-17.46,81,100,0.56,overcast clouds
196,Kilinochchi,LK,9.4,80.4,77.38,88,84,8.99,light rain
197,Sakakah,SA,29.97,40.21,57.2,67,0,5.82,clear sky
198,Pacific Grove,US,36.62,-121.92,60.01,35,1,7.61,clear sky
199,Taree,AU,-31.9,152.47,68.0,77,90,5.82,overcast clouds
200,Half Moon Bay,US,37.46,-122.43,59.0,66,1,4.7,clear sky
201,Richards Bay,ZA,-28.78,32.04,67.55,75,27,5.23,scattered clouds
202,Bambous Virieux,MU,-20.34,57.76,75.99,83,40,6.93,scattered clouds
203,Port Alfred,ZA,-33.59,26.89,63.63,73,0,7.16,clear sky
204,Itarema,BR,-2.92,-39.92,82.11,69,82,17.96,broken clouds
205,Surt,LY,31.21,16.59,66.02,39,0,13.96,clear sky
206,Kloulklubed,PW,7.04,134.26,80.6,83,75,3.36,broken clouds
207,Arman,RU,59.7,150.17,9.5,92,100,11.45,overcast clouds
208,Whitehaven,GB,54.55,-3.58,46.0,95,99,1.99,overcast clouds
209,Moerai,PF,-22.43,-151.33,78.28,88,99,11.41,overcast clouds
210,Camacha,PT,33.08,-16.33,59.0,72,40,12.75,shower rain
211,Panama City,PA,8.99,-79.52,87.8,66,40,11.41,heavy intensity rain
212,Linxia,CN,35.6,103.21,26.55,95,100,1.01,light snow
213,Nelson Bay,AU,-32.72,152.15,66.99,88,75,11.41,broken clouds
214,Channel-Port Aux Basques,CA,47.57,-59.14,37.89,80,94,18.34,overcast clouds
215,Omsukchan,RU,62.53,155.8,-10.8,83,6,3.51,clear sky
216,Lukow,PL,51.93,22.38,35.01,50,99,4.94,overcast clouds
217,Yumen,CN,40.28,97.2,17.64,86,51,1.21,broken clouds
218,Metro,ID,-5.11,105.31,73.44,89,100,4.34,overcast clouds
219,Lidingo,SE,59.37,18.18,33.01,91,90,2.24,overcast clouds
220,Outlook,CA,51.5,-107.05,23.0,72,0,17.22,clear sky
221,Nuuk,GL,64.18,-51.72,28.4,92,100,17.22,heavy snow
222,Alekseyevka,RU,50.63,38.69,38.79,84,100,14.05,overcast clouds
223,North Battleford,CA,52.78,-108.28,23.0,67,1,6.93,clear sky
224,Yeppoon,AU,-23.13,150.73,64.4,88,0,4.25,clear sky
225,Zhigalovo,RU,54.81,105.16,7.47,92,100,2.55,light snow
226,Harer,ET,9.31,42.13,59.14,49,1,2.66,clear sky
227,Norsup,VU,-16.07,167.38,73.4,100,75,10.31,broken clouds
228,Muros,ES,42.78,-9.06,52.0,88,100,1.01,overcast clouds
229,Coquimbo,CL,-29.95,-71.34,64.4,68,0,14.99,clear sky
230,George Town,MY,5.41,100.34,78.8,94,20,2.24,few clouds
231,Portland,US,45.52,-122.68,48.99,92,0,3.02,clear sky
232,Caravelas,BR,-17.71,-39.25,77.52,74,95,7.94,overcast clouds
233,Samana,DO,19.21,-69.34,87.8,70,20,4.7,few clouds
234,Ponta Delgada,PT,37.73,-25.67,59.0,82,40,32.21,scattered clouds
235,Talnakh,RU,69.49,88.4,5.0,84,90,29.08,snow
236,Banda Aceh,ID,5.56,95.32,78.44,78,100,3.74,overcast clouds
237,Fort Walton Beach,US,30.41,-86.62,66.0,100,90,4.7,moderate rain
238,Lorengau,PG,-2.02,147.27,81.82,79,100,4.94,moderate rain
239,Fort Nelson,CA,58.81,-122.7,28.4,74,75,4.7,broken clouds
240,Santo Tomas,PH,14.11,121.14,77.0,94,90,5.82,light rain
241,Yerbogachen,RU,61.28,108.01,-6.57,91,74,6.33,broken clouds
242,Grindavik,IS,63.84,-22.43,33.8,80,75,14.99,broken clouds
243,Cockburn Town,TC,21.46,-71.14,80.6,61,40,9.17,scattered clouds
244,Shaunavon,CA,49.65,-108.42,19.4,67,0,5.82,clear sky
245,Chuy,UY,-33.7,-53.46,79.05,60,5,8.63,clear sky
246,Noumea,NC,-22.28,166.46,73.99,77,0,3.36,clear sky
247,Kaitangata,NZ,-46.28,169.85,52.0,87,100,1.01,moderate rain
248,Diffa,NE,13.32,12.61,69.6,23,0,4.18,clear sky
249,Taksimo,RU,56.34,114.88,-6.93,82,0,2.17,clear sky
250,Kazachka,RU,53.36,38.07,38.43,87,100,17.69,light rain
251,Zabaykalsk,RU,49.63,117.32,-1.53,88,0,8.3,clear sky
252,Coihaique,CL,-45.58,-72.07,55.4,54,40,6.93,scattered clouds
253,Hirara,JP,24.8,125.28,68.99,72,23,27.94,few clouds
254,Jiayuguan,CN,39.82,98.3,19.13,84,86,1.32,overcast clouds
255,Churapcha,RU,62.0,132.43,-28.25,85,100,0.2,overcast clouds
256,Khorixas,NA,-20.37,14.97,72.12,33,0,11.41,clear sky
257,Fortuna,US,40.6,-124.16,55.99,66,41,4.0,scattered clouds
258,Perdoes,BR,-21.09,-45.09,77.59,62,42,4.52,scattered clouds
259,Port Elizabeth,ZA,-33.92,25.57,59.0,87,0,5.82,clear sky
260,Praya,CV,14.92,-23.51,73.4,69,75,13.87,broken clouds
261,Nome,US,64.5,-165.41,15.8,61,1,4.7,clear sky
262,Vao,NC,-22.67,167.48,73.08,61,0,9.6,clear sky
263,Zhigansk,RU,66.77,123.37,-2.29,92,100,11.12,overcast clouds
264,Pontianak,ID,-0.03,109.33,74.01,95,93,2.44,light rain
265,Broome,US,42.25,-75.83,52.0,42,1,11.41,clear sky
266,Rafaela,AR,-31.25,-61.49,95.81,30,27,10.92,heavy intensity rain
267,Bubaque,GW,11.28,-15.83,81.68,50,26,9.6,scattered clouds
268,College,US,64.86,-147.8,7.0,76,40,3.36,scattered clouds
269,Kynashiv,UA,48.67,28.9,30.0,88,31,1.68,scattered clouds
270,Kibala,TD,9.11,18.35,79.68,27,84,3.31,broken clouds
271,Spencer,US,43.14,-95.14,35.6,47,1,28.86,clear sky
272,Lufilufi,WS,-13.87,-171.6,86.0,79,75,6.93,broken clouds
273,Saint-Francois,FR,46.42,3.91,37.4,97,90,9.17,overcast clouds
274,Luderitz,NA,-26.65,15.16,59.0,87,0,17.22,clear sky
275,Sao Felix Do Xingu,BR,-6.64,-51.99,85.86,63,100,3.06,light rain
276,Nenjiang,CN,49.18,125.22,3.25,91,99,4.99,overcast clouds
277,Neuquen,AR,-38.95,-68.06,75.2,15,0,10.29,clear sky
278,Port Hardy,CA,50.7,-127.42,44.6,87,90,19.46,light rain
279,Tefe,BR,-3.35,-64.71,89.6,66,40,6.93,scattered clouds
280,Wolsztyn,PL,52.12,16.12,34.0,100,68,3.36,broken clouds
281,Borba,BR,-4.39,-59.59,92.52,51,100,2.46,moderate rain
282,Pitimbu,BR,-7.47,-34.81,82.4,69,20,16.11,few clouds
283,Faya,SA,18.39,42.45,59.0,72,0,3.0,clear sky
284,Sept-Iles,CA,50.2,-66.38,34.0,80,94,6.93,light rain
285,Koumac,NC,-20.57,164.28,74.57,64,0,3.4,clear sky
286,Dingle,PH,11.0,122.67,74.61,92,37,7.05,scattered clouds
287,Bayir,TR,37.27,28.22,57.2,93,75,3.36,thunderstorm
288,Kosonsoy,UZ,41.26,71.55,30.2,86,0,4.7,mist
289,Tigzirt,DZ,36.89,4.12,59.88,83,47,9.37,scattered clouds
290,Umm Lajj,SA,25.02,37.27,73.15,49,0,13.96,clear sky
291,Zhezkazgan,KZ,47.8,67.71,2.12,91,0,6.78,clear sky
292,Brindisi,IT,40.58,17.67,57.2,93,40,6.93,scattered clouds
293,Sulangan,PH,11.14,123.72,81.97,79,49,17.96,scattered clouds
294,Andreyevo,RU,55.95,41.15,34.66,94,100,11.83,overcast clouds
