City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Mangrol,IN,75.61,clear sky,21.12,70.12,Hotel The Royal Honours
138,Bireun,ID,76.75,overcast clouds,5.2,96.7,OYO 2303 Hotel Blang Raya
141,Grand Gaube,MU,75.99,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
147,Puerto Colombia,CO,86.0,broken clouds,10.99,-74.95,Hotel El Emigrante
148,Piacabucu,BR,78.6,overcast clouds,-10.41,-36.43,Piaçabuçu News
156,Ratnagiri,IN,78.3,clear sky,16.98,73.3,Hotel Landmark
159,Yulara,AU,84.2,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
161,Lethem,GY,89.44,overcast clouds,3.38,-59.8,Savannah Inn
165,Kavieng,PG,80.76,light rain,-2.57,150.8,Nusa Island Retreat
168,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
172,Mahajanga,MG,82.4,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
174,Port Blair,IN,80.62,clear sky,11.67,92.75,Fortune Resort Bay Island
179,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
183,Natal,BR,84.2,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
188,Hilo,US,77.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
196,Kilinochchi,LK,77.38,light rain,9.4,80.4,Solaivanam Guest House
202,Bambous Virieux,MU,75.99,scattered clouds,-20.34,57.76,Casa Tia Villa
204,Itarema,BR,82.11,broken clouds,-2.92,-39.92,Windvillage
206,Kloulklubed,PW,80.6,broken clouds,7.04,134.26,Storyboard Beach Resort
209,Moerai,PF,78.28,overcast clouds,-22.43,-151.33,Le Manotel
211,Panama City,PA,87.8,heavy intensity rain,8.99,-79.52,Trump International Hotel & Tower Panama
230,George Town,MY,78.8,few clouds,5.41,100.34,Cititel Penang
232,Caravelas,BR,77.52,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
233,Samana,DO,87.8,few clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
236,Banda Aceh,ID,78.44,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
238,Lorengau,PG,81.82,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
